held_out_drive,driver_id,test_mae_mps,test_rmse_mps,test_r2,blackout_exit_error_m,blackout_peak_error_m
S-S1,A,0.7182785331173113,0.9009159908780757,0.6661859797069838,560.51,569.43
S-S2,A,0.6502068624723777,0.9320955482863112,0.4763813270567382,63.98,63.98
S-M_train,B,1.0676514357475948,1.3163087836170067,-1.89104505202021,412.27,415.14
S-Y1_train,D,0.7291720865112591,0.9701360875762807,0.06593964283018472,754.22,775.34
S-Vfa01,E,1.8683892793247494,2.0327299096965366,-5.823018842479437,1382.25,1398.9
S-Vta1a,E,1.1566710407877687,1.3906754326784017,0.36605209709192343,397.45,400.29
S-S3a,A,1.0335220353933543,1.259852048550341,-0.1445300652321504,541.98,551.57
S-S3b,A,1.0159703814843526,1.2673322582203332,-0.5829316392558095,198.07,200.97
S-M,B,0.6483892251480279,0.9288298183759446,0.20843178681180274,34.81,46.42
S-Y1,D,1.1186865961956332,1.3405155029425704,0.5223382169940552,533.87,543.7
S-Vfa02,E,1.2444782577189841,1.6109725283444685,0.2844726032166446,1008.37,1040.67
S-Vta1b,E,0.9976804861099018,1.2171282921999926,0.1700951677941528,169.1,176.21
