model,drive,driver,mae,rmse,r2,coverage_90,blackout_exit_m,peak_drift_m,trajectory_rmse_m
Random Forest (Baseline),S-S3a,A,0.960197153517653,1.171176260394881,0.010917235761375599,67.11319490957803,528.49,542.7,161.98
Random Forest (Baseline),S-S3b,A,0.9013992428129055,1.1598761376991185,-0.3258805764112789,79.97320830542532,211.0,214.32,86.46
Random Forest (Baseline),S-M,B,0.7548003587268026,1.0793210665615247,-0.06885146139884024,86.60415271265907,38.94,47.83,27.9
Random Forest (Baseline),S-Y1,D,1.1373762667033342,1.362872473085065,0.5062725730285446,53.31547220361688,538.74,547.24,115.31
Random Forest (Baseline),S-Vfa02,E,1.2860949981640306,1.6288080749648597,0.26854127360621993,69.6584058941728,1003.21,1036.5,337.69
Random Forest (Baseline),S-Vta1b,E,1.0539589103864033,1.2552744000787417,0.11725976552492634,78.51063829787233,168.04,174.34,72.38
Random Forest (Tuned),S-S3a,A,0.9554510188670876,1.1674393502081024,0.01721896322517147,59.87943737441393,527.3,541.65,161.58
Random Forest (Tuned),S-S3b,A,0.901380111733009,1.1594488970466539,-0.32490397945501326,75.01674480910918,210.6,213.95,86.34
Random Forest (Tuned),S-M,B,0.747407110050504,1.0810795766212804,-0.07233720310469738,85.13060951105157,40.37,48.64,28.06
Random Forest (Tuned),S-Y1,D,1.1384568731935287,1.3659968164024916,0.5040062683384892,48.96182183523108,540.13,548.57,115.68
Random Forest (Tuned),S-Vfa02,E,1.2923501602773328,1.6408399821738513,0.2576948770176575,64.09912926992632,1003.84,1037.28,337.92
Random Forest (Tuned),S-Vta1b,E,1.0777641732128809,1.2862501621874385,0.07315638398787028,69.7872340425532,167.94,174.25,72.49
HistGradientBoosting,S-S3a,A,0.9585821511993636,1.1717508330980955,0.009946520457098762,61.68787675820495,533.22,546.87,163.9
HistGradientBoosting,S-S3b,A,0.8520649187137059,1.0995397903259039,-0.1915247877855073,69.05559276624247,212.28,215.02,86.33
HistGradientBoosting,S-M,B,0.7383179434762247,1.035127955880623,0.016885450861683915,69.6584058941728,40.18,45.12,27.1
HistGradientBoosting,S-Y1,D,1.1213112655249124,1.3440543692232783,0.5198129012968826,52.51172136637642,536.54,545.68,115.29
HistGradientBoosting,S-Vfa02,E,1.3159835850532038,1.6508397961382548,0.24861960820138984,64.03215003348961,996.12,1030.91,335.53
HistGradientBoosting,S-Vta1b,E,1.0824310118725076,1.3313265117057167,0.0070560388043938715,64.25531914893618,172.19,178.37,73.84
XGBoost Regressor,S-S3a,A,0.9629241154184474,1.1716708944940013,0.010081601723958222,90.15405224380441,533.98,547.32,163.52
XGBoost Regressor,S-S3b,A,0.8702387911086747,1.1178746235854984,-0.23159346561579963,91.2926992632284,210.39,213.08,85.7
XGBoost Regressor,S-M,B,0.7108657906787723,1.0350538510584884,0.017026208186602942,90.89082384460816,43.65,51.15,28.43
XGBoost Regressor,S-Y1,D,1.0998469566531013,1.333473841346649,0.5273433040529316,86.53717347622238,538.23,547.14,115.54
XGBoost Regressor,S-Vfa02,E,1.3018426497406907,1.6337824560995935,0.2640667003037561,73.47622237106496,994.41,1029.24,335.45
XGBoost Regressor,S-Vta1b,E,1.0576125549664168,1.314131049482725,0.03254019340805936,82.76595744680851,170.65,177.99,73.55
1D-CNN (PyTorch TCN),S-S3a,A,1.0506547586814254,1.2903280621298492,-0.20057251680332455,90.15405224380441,537.53,550.31,165.06
1D-CNN (PyTorch TCN),S-S3b,A,0.9101266332421486,1.2202416526216147,-0.4674823004520088,92.7662424648359,209.13,212.18,85.4
1D-CNN (PyTorch TCN),S-M,B,0.852815981406563,1.117024722035481,-0.1448316245269392,91.76155391828533,40.21,54.85,29.55
1D-CNN (PyTorch TCN),S-Y1,D,1.0530782969452674,1.2876408325171564,0.559276413091953,91.42665773610182,538.49,549.92,117.23
1D-CNN (PyTorch TCN),S-Vfa02,E,1.2104567275919524,1.5481540646629086,0.3391873430211364,82.04956463496316,1016.15,1052.16,343.22
1D-CNN (PyTorch TCN),S-Vta1b,E,1.1427966064482433,1.3663082180169812,-0.04581035799749644,89.36170212765957,170.97,179.4,74.03
