feature,importance_mean,importance_std
az_p2p,0.03655820473825742,0.0013645020626147928
acc_mag_std,0.028279686305366127,0.0008199790481434815
az_p90,0.020589371874563243,0.0003588600458008511
gyro_mag_min,0.017016872521423743,0.000767635239416476
az_max,0.015753393893029165,0.0002756946231388876
acc_mag_mad,0.015627670376737558,0.0006859953230877779
gy_rms,0.015408760901915518,0.0013073101565798286
ay_max,0.012232834170871554,0.0003731433588759482
az_std,0.009155879806054656,0.0009895903147477713
ax_min,0.008963774644432165,0.0011251792423926537
acc_horiz_min,0.00859276081924798,0.00041562226423879175
jerk_mag_max,0.0060353594089914255,0.0002303943199162442
acc_mag_p90,0.005729193080650253,0.0007487712410524492
ay_mean,0.004914928347515701,0.0005193123169474719
jerk_mag_p90,0.0048973982034304035,0.0004646019911067776
gy_median,0.00429484591853877,0.0002700978221575923
jerk_mag_rms,0.003889768105762603,0.0004276359455423687
gyro_mag_median,0.003869404689960931,0.0002497512914666737
alpha_mag_p10,0.003857829896013598,0.0007299878167204922
acc_horiz_median,0.00382833869735828,0.0004041070532692693
ax_p90,0.0037891018506993833,0.0005192581706055805
gyro_mag_max,0.00323475363289587,0.00043356479928059575
jerk_mag_mean,0.003055175542975852,0.0003407616843840855
ay_median,0.0029401256397177944,0.0005607419899551356
acc_mag_min,0.0025527978172501077,0.0004723635948622337
gyro_mag_p90,0.0025156121107698937,0.00037662902020294046
ay_spec_centroid,0.0021883466466232847,0.0004882731856328921
acc_mag_max,0.0021668064452157187,0.000293670685809907
az_rms,0.0020773080279451904,0.0001931097732125234
ax_median,0.00207380358516005,0.00032588238664339487
gyro_mag_mean,0.0019574308057602073,0.0004155138461829065
acc_mag_p2p,0.0018491090102615848,0.00039835625078563785
ay_rms,0.00176884938574835,0.00020727352929970317
jerk_mag_std,0.0017578117107610147,0.00024327757463762714
acc_mag_rms,0.0016684477562000978,7.867751067546825e-05
az_p10,0.0016489764571746112,0.00038194543773547673
acc_horiz_max,0.0015760709310312037,0.00017593987581265592
gyro_mag_p2p,0.001516621837972809,0.00020279611593721587
acc_mag_mean,0.0015077444561877762,0.00031784964073030826
acc_horiz_p10,0.0014259974620085326,0.00046714503178561204
alpha_mag_mad,0.001297211261026976,0.00018830906727479986
gy_min,0.0012186854910905432,0.00029550187166136656
gy_p90,0.0010991346207125164,0.0003645190015938823
alpha_mag_mean,0.0010716426609805652,0.0003500110554352916
gy_dom_freq,0.001040362593964006,0.00023024203116584732
acc_mag_median,0.0010366178108570212,0.0005484361453301792
az_min,0.0010357419399072755,0.00025791786965033696
ay_p10,0.0010300717573558105,0.0005461338529067246
gx_std,0.0010227941456480093,0.00035926761226246786
acc_horiz_skew,0.0010164504755045822,0.0005303655172612657
acc_horiz_p90,0.0010103341360688579,0.0003351282481758748
gyro_mag_iqr,0.0010058338000240585,8.418980081772426e-05
gy_max,0.0009923388496683838,0.0004755271348635004
