drive,driver,samples,duration_s,min_speed,max_speed,mean_speed,median_speed,std_speed,stationary_pct,max_implied_accel,spike_count_gt8ms2
S-S1,A,3000,299.89900000000006,0.0,5.227777777777778,2.3977925925925927,2.816666666666667,1.5564748238736592,14.633333333333333,25.05500550055028,13
S-S2,A,3000,299.9000000000025,0.0,3.8305555555555553,1.2546675925925925,0.9361111111111111,1.287684559107771,28.733333333333334,20.555555555556722,12
S-M_train,B,3000,299.9,0.0,2.9416666666666664,1.729477777777778,1.9388888888888889,0.7771659570611767,3.6333333333333333,20.679012345645575,11
S-Y1_train,D,3000,299.9,0.6833333333333333,3.9138888888888888,2.6265694444444447,3.0638888888888887,1.0019004181316455,0.0,24.01960784314303,8
S-Vfa01,E,3000,299.90099999999995,3.5888888888888886,6.747222222222222,5.403134259259259,5.5361111111111105,0.7857002191298578,0.0,17.66666666666767,5
S-Vta1a,E,3000,299.9,0.0,6.5249999999999995,2.703512962962963,2.6222222222222222,1.752331599206274,12.0,8.69444444444494,1
S-S3a,A,3000,299.899,0.0,4.6722222222222225,2.7411666666666665,3.102777777777778,1.181923545970093,4.0,28.107810781078364,13
S-S3b,A,3000,299.89899999999756,0.0,3.483333333333333,1.5379324074074072,1.761111111111111,1.0102534611780292,21.466666666666665,29.74999999989177,13
S-M,B,3000,299.90000000000003,0.3333333333333333,5.1722222222222225,2.2220629629629634,1.8916666666666666,1.0431758501164214,0.0,22.194444444439398,3
S-Y1,D,3000,299.9000000000033,0.0,5.397222222222222,2.8989842592592594,3.213888888888889,1.9402767185392178,14.933333333333334,19.583333333334444,7
S-Vfa02,E,3000,299.9,0.0,7.058333333333334,3.9703175925925924,3.952777777777778,1.9187160022213325,8.833333333333334,33.576051779932456,12
S-Vta1b,E,954,95.30000000000018,0.0,5.936111111111111,3.667464477055672,3.5583333333333336,1.3296723293025057,3.1446540880503147,12.666666666678186,4
