drive,assumed_sigma_mps,actual_rmse_mps,overconfidence_ratio
S1,0.2,3.263,16.3
S2#seg0,0.2,4.962,24.8
S3a,0.2,3.485,17.4
S3b#seg0,0.2,6.655,33.3
S3c,0.2,5.494,27.5
M#seg0,0.2,5.033,25.2
Vfa01,0.2,6.097,30.5
Vfa02,0.2,7.957,39.8
Vta1a,0.2,6.984,34.9
Vw10,0.2,2.155,10.8
Vw11,0.2,4.321,21.6
Vw12,0.2,7.484,37.4
Vw14a,0.2,10.653,53.3
Vw14b,0.2,12.126,60.6
Vw14c,0.2,3.03,15.1
Vw16a,0.2,7.264,36.3
Vw2,0.2,4.993,25.0
Vw3,0.2,5.696,28.5
Vw4,0.2,4.857,24.3
Vw5,0.2,5.766,28.8
Vw6,0.2,3.506,17.5
Vw7,0.2,5.781,28.9
Vw8,0.2,6.233,31.2
