drive,driver,ml_rmse_during_blackout,ml_bias_during_blackout,ml_drift_pct,ml_exit_m,blackout_distance_m,hold_last_drift_pct,hold_last_exit_m,train_mean_drift_pct,train_mean_exit_m,oracle_drift_pct,oracle_exit_m,oracle_speed_and_heading_drift_pct,oracle_speed_and_heading_exit_m
S1,A,3.263,-0.583,53.79,621.4,1155.3,53.6,619.2,54.7,631.9,55.72,643.8,104.78,1210.5
S2#seg0,A,4.962,1.309,42.72,352.4,825.1,51.53,425.1,49.37,407.4,39.22,323.6,93.79,773.8
S3a,A,3.485,0.589,0.78,4.9,625.2,52.04,325.3,18.45,115.4,1.87,11.7,13.0,81.3
S3b#seg0,A,6.655,6.053,201.36,948.0,470.8,152.5,718.0,216.14,1017.6,126.62,596.1,70.43,331.6
S3c,A,5.494,-3.193,51.75,754.5,1458.2,56.16,818.9,54.12,789.2,50.36,734.3,113.17,1650.2
M#seg0,B,5.033,-4.476,20.61,382.3,1855.2,10.58,196.4,37.43,694.4,8.86,164.3,19.11,354.6
Vfa01,E,6.097,-4.593,51.25,897.5,1751.3,58.53,1025.0,60.76,1064.1,41.06,719.1,12.14,212.7
Vfa02,E,7.957,-7.716,70.4,1526.2,2168.0,66.69,1445.9,74.24,1609.5,67.52,1463.8,135.48,2937.1
Vta1a,E,6.984,-3.502,75.43,1088.2,1442.7,84.01,1212.0,76.58,1104.8,71.48,1031.2,114.56,1652.8
Vw10,E,2.155,0.349,100.45,442.2,440.2,100.04,440.4,100.77,443.6,100.61,442.9,69.97,308.0
Vw11,E,4.321,-0.723,49.91,568.3,1138.6,49.32,561.5,47.44,540.1,54.29,618.2,38.32,436.4
Vw12,E,7.484,-6.579,76.16,1161.7,1525.3,63.9,974.7,85.84,1309.3,68.06,1038.2,23.54,359.1
Vw14a,E,10.653,-10.049,83.13,1912.5,2300.6,72.89,1676.8,85.46,1966.0,70.46,1621.0,73.55,1692.1
Vw14b,E,12.126,-11.258,91.22,2331.2,2555.6,82.11,2098.5,94.02,2402.9,84.99,2172.2,38.43,982.2
Vw14c,E,3.03,-0.906,90.88,1069.3,1176.6,92.44,1087.6,90.68,1066.9,91.18,1072.8,50.61,595.4
Vw16a,E,7.264,-3.915,80.62,1220.4,1513.8,72.82,1102.2,82.37,1246.9,74.9,1133.7,39.89,603.8
Vw2,E,4.993,1.116,67.52,511.4,757.4,45.57,345.1,52.56,398.1,84.3,638.5,79.96,605.6
Vw3,E,5.696,-3.102,62.46,817.4,1308.7,60.81,795.9,62.09,812.6,64.09,838.8,33.45,437.7
Vw4,E,4.857,3.535,56.79,308.6,543.4,54.3,295.1,50.53,274.6,65.84,357.8,35.4,192.4
Vw5,E,5.766,5.033,67.83,289.2,426.4,59.53,253.8,68.2,290.8,54.02,230.3,72.73,310.1
Vw6,E,3.506,2.838,25.51,206.0,807.5,20.22,163.2,24.5,197.8,21.11,170.5,11.35,91.6
Vw7,E,5.781,4.496,18.51,107.7,581.7,6.01,34.9,21.86,127.2,9.42,54.8,19.6,114.0
Vw8,E,6.233,5.251,24.44,139.3,570.1,17.86,101.8,25.1,143.1,16.08,91.7,6.7,38.2
